epoch,loss_step,lr-AdamW,step
,,0.01,49
0,0.8352777361869812,,49
,,0.01,99
0,0.5770312547683716,,99
,,0.01,149
0,0.5701021552085876,,149
,,0.01,199
0,0.537771999835968,,199
,,0.01,249
0,0.5132653117179871,,249
,,0.01,299
0,0.4628024995326996,,299
,,0.01,349
0,0.4709780812263489,,349
,,0.01,399
0,0.4297204911708832,,399
,,0.01,449
0,0.44988393783569336,,449
,,0.01,499
0,0.4209841787815094,,499
,,0.01,549
0,0.4031987190246582,,549
,,0.01,599
0,0.3707749843597412,,599
,,0.01,649
0,0.39556068181991577,,649
,,0.01,699
0,0.3622879683971405,,699
,,0.01,749
0,0.39681562781333923,,749
,,0.01,799
0,0.3966710865497589,,799
,,0.01,849
0,0.39286094903945923,,849
