epoch,learning_rate,learning_rate_step,loss_step,step
,1.002041144509022e-06,,,49
0,,1.0020411309596966e-06,3.192202768786956e-07,49
,1.0083276842104184e-06,,,99
0,,1.0083276720251888e-06,2.9152255365261226e-07,99
,1.0188471086405082e-06,,,149
0,,1.01884711511957e-06,3.1214932505463366e-07,149
,1.0335770609534016e-06,,,199
0,,1.0335770639358088e-06,2.9585075367322133e-07,199
,1.052486235703066e-06,,,249
0,,1.052486254593532e-06,3.0467239753306785e-07,249
,1.075534445376527e-06,,,299
0,,1.0755344419521862e-06,2.6838276312446396e-07,299
,1.1026727058040613e-06,,,349
0,,1.1026727406715509e-06,2.7019456183552393e-07,349
,1.1338433402648462e-06,,,399
0,,1.1338432841512258e-06,2.805101644298702e-07,399
,1.1689801020668192e-06,,,449
0,,1.1689801340253325e-06,2.7777542754847673e-07,449
,1.208008315340228e-06,,,499
0,,1.2080083706678124e-06,3.155851118208375e-07,499
,1.2508450337456327e-06,,,549
0,,1.2508450026871287e-06,2.6884023895945575e-07,549
,1.2973992167590857e-06,,,599
0,,1.2973991942999419e-06,3.0051253929741506e-07,599
,1.3475719231597982e-06,,,649
0,,1.3475719242705964e-06,2.8114214956076466e-07,649
,1.4012565213091024e-06,,,699
0,,1.4012565543453093e-06,3.207820498118963e-07,699
,1.4583389157737933e-06,,,749
0,,1.4583389429390081e-06,2.997036006036069e-07,749
,1.5186977898122113e-06,,,799
0,,1.518697786195844e-06,2.3326943221491092e-07,799
,1.5822048632077097e-06,,,849
0,,1.5822048453628668e-06,2.806296492963156e-07,849
,1.648725164901541e-06,,,899
0,,1.648725174163701e-06,2.9843869242540677e-07,899
,1.7181173198457331e-06,,,949
0,,1.718117346172221e-06,2.8255772122065537e-07,949
,1.7902338494663146e-06,,,999
0,,1.790233795873064e-06,3.3700118251545064e-07,999
,1.8649214850983054e-06,,,1049
0,,1.864921500782657e-06,2.3584541963828087e-07,1049
,1.9420214937263474e-06,,,1099
0,,1.9420215267018648e-06,3.025601529316191e-07,1099
,2.0213700153386734e-06,,,1149
0,,2.021369937210693e-06,3.5189671621083107e-07,1149
,2.102798411177434e-06,,,1199
0,,2.102798362102476e-06,2.6847604317481455e-07,1199
,2.1861336221452593e-06,,,1249
0,,2.186133542636526e-06,3.4770235401992977e-07,1249
,2.2711985366063284e-06,,,1299
0,,2.271198582093348e-06,3.1799893918105226e-07,1299
,2.357812366800267e-06,,,1349
0,,2.3578122636536136e-06,2.8136619789620454e-07,1349
,2.4457910330688836e-06,,,1399
0,,2.4457910967612406e-06,2.7837111815642857e-07,1399
,2.534947555079145e-06,,,1449
0,,2.534947498133988e-06,2.93882692403713e-07,1449
,2.625092449210935e-06,,,1499
0,,2.625092520247563e-06,3.2223834978140076e-07,1499
,2.7160341312650283e-06,,,1549
0,,2.716034032346215e-06,3.035479778645822e-07,1549
,2.8075793236354065e-06,,,1599
0,,2.807579221553169e-06,3.2315676889993483e-07,1599
,2.899533466080559e-06,,,1649
0,,2.8995334560022457e-06,2.8571170673785673e-07,1649
,2.991701129220759e-06,,,1699
0,,2.9917011943325633e-06,2.72752629371098e-07,1699
,3.083886429882506e-06,,,1749
0,,3.08388644043589e-06,2.9488700192814576e-07,1749
,3.1758934474074245e-06,,,1799
0,,3.1758934255776694e-06,2.8717573741232627e-07,1799
,3.267526640040816e-06,,,1849
0,,3.26752660839702e-06,2.702761321415892e-07,1849
,3.358591260514937e-06,,,1899
0,,3.3585913570277626e-06,3.075147105846554e-07,1899
,3.448893769943761e-06,,,1949
0,,3.448893721724744e-06,3.093851432822703e-07,1949
,3.538242249149572e-06,,,1999
0,,3.538242253853241e-06,3.125806529169495e-07,1999
,3.6264468065472124e-06,,,2049
0,,3.626446869020583e-06,3.714454805958667e-07,2049
,3.7133199817190963e-06,,,2099
0,,3.7133199839445297e-06,3.577903839868668e-07,2099
,3.7986771438232914e-06,,,2149
0,,3.798677198574296e-06,3.110080513124558e-07,2149
,3.882336883987921e-06,,,2199
0,,3.8823368413432036e-06,3.3411211575185007e-07,2199
,3.964121400857943e-06,,,2249
0,,3.964121333410731e-06,2.539436820825358e-07,2249
,4.0438568784749e-06,,,2299
0,,4.043856733915163e-06,3.258178367104847e-07,2299
,4.1213738556865394e-06,,,2349
0,,4.121373876841972e-06,2.991381222727796e-07,2349
,4.1965075863012055e-06,,,2399
0,,4.196507688902784e-06,3.142204150208272e-07,2399
,4.269098389221557e-06,,,2449
0,,4.2690985537774395e-06,2.598229116301809e-07,2449
,4.338991987813487e-06,,,2499
