epoch,learning_rate,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,step,val_loss
,8.142207694199971e-07,,,,,49,
0,,,8.142207548189617e-07,,0.004673863295465708,49,
,1.0044676175974556e-06,,,,,99,
0,,,1.0044676628240268e-06,,0.004321121610701084,99,
,1.2981603938910612e-06,,,,,149,
0,,,1.2981604413653258e-06,,0.004495768342167139,149,
,1.6603993950400901e-06,,,,,199,
0,,,1.6603994481556583e-06,,0.004869856871664524,199,
,2.048139525386745e-06,,,,,249,
0,,,2.0481395495153265e-06,,0.004302311223000288,249,
,2.4153053735363483e-06,,,,,299,
0,,,2.415305289105163e-06,,0.005288998130708933,299,
,2.718266383403712e-06,,,,,349,
0,,,2.7182663870917168e-06,,0.004500652197748423,349,
,2.921021501515969e-06,,,,,399,
0,,,2.9210214052000083e-06,,0.005422149319201708,399,
,2.9994772055672233e-06,,,,,449,
0,,,2.9994771466590464e-06,,0.005431879311800003,449,
,2.9999997155954447e-06,,,,,499,
0,,,2.999999651365215e-06,,0.005483647342771292,499,
,2.9999987499637754e-06,,,,,549,
0,,,2.999998741870513e-06,,0.0047598727978765965,549,
,2.9999971004574915e-06,,,,,599,
0,,,2.999997150254785e-06,,0.00465870276093483,599,
,2.9999947670773835e-06,,,,,649,
0,,,2.9999948765180307e-06,,0.0047937603667378426,649,
,2.9999917498245723e-06,,,,,699,
0,,,2.9999916932865744e-06,,0.004907715599983931,699,
,2.9999880487005046e-06,,,,,749,
0,,,2.9999880553077674e-06,,0.004811430815607309,749,
,2.999983663706958e-06,,,,,799,
0,,,2.999983735207934e-06,,0.0050682867877185345,799,
,2.9999785948460357e-06,,,,,849,
0,,,2.9999785056133987e-06,,0.00472831167280674,849,
,2.9999728421201716e-06,,,,,899,
0,,,2.9999728212715127e-06,,0.004793598782271147,899,
,2.9999664055321257e-06,,,,,949,
0,,,2.9999664548086002e-06,,0.004718352109193802,949,
,2.9999592850849867e-06,,,,,999,
0,,,2.999959178850986e-06,,0.00474235275760293,999,
,2.9999514807821725e-06,,,,,1049,
0,,,2.999951448146021e-06,,0.004691006150096655,1049,
,2.999942992627428e-06,,,,,1099,
0,,,2.9999430353200296e-06,,0.004551378544420004,1099,
,2.9999338206248267e-06,,,,,1149,
0,,,2.9999337129993364e-06,,0.00452576344832778,1149,
,2.9999239647787714e-06,,,,,1199,
0,,,2.9999239359312924e-06,,0.00496444059535861,1199,
,2.9999134250939908e-06,,,,,1249,
0,,,2.999913476742222e-06,,0.004871411714702845,1249,
,2.9999022015755433e-06,,,,,1299,
0,,,2.99990210805845e-06,,0.00459268968552351,1299,
,2.9998902942288154e-06,,,,,1349,
0,,,2.9998902846273268e-06,,0.004755915142595768,1349,
,2.999877703059522e-06,,,,,1399,
0,,,2.9998777790751774e-06,,0.005362552125006914,1399,
,2.999864428073705e-06,,,,,1449,
0,,,2.9998643640283262e-06,,0.004851765464991331,1449,
,2.9998504692777354e-06,,,,,1499,
0,,,2.999850494234124e-06,,0.0051285759545862675,1499,
,2.9998358266783122e-06,,,,,1549,
0,,,2.9998357149452204e-06,,0.0045905387960374355,1549,
,2.9998205002824634e-06,,,,,1599,
0,,,2.9998204809089657e-06,,0.004891447257250547,1599,
,2.999804490097543e-06,,,,,1649,
0,,,2.9998045647516847e-06,,0.004856005776673555,1649,
,2.9997877961312357e-06,,,,,1699,
0,,,2.999787739099702e-06,,0.004609809257090092,1699,
,2.999770418391552e-06,,,,,1749,
0,,,2.999770458700368e-06,,0.004991161171346903,1749,
,2.999752356886833e-06,,,,,1799,
0,,,2.9997522688063327e-06,,0.004762421827763319,1799,
,2.9997336116257455e-06,,,,,1849,
0,,,2.9997336241649464e-06,,0.004632180090993643,1849,
,2.999714182617286e-06,,,,,1899,
0,,,2.9997140700288583e-06,,0.0047309789806604385,1899,
,2.9996940698707785e-06,,,,,1949,
0,,,2.9996940611454193e-06,,0.004551035817712545,1949,
,2.999673273395876e-06,,,,,1999,
0,,,2.999673370140954e-06,,0.0047531211748719215,1999,
,2.999651793202558e-06,,,,,2049,
0,,,2.999651769641787e-06,,0.004799121059477329,2049,
,2.999629629301134e-06,,,,,2099,
0,,,2.999629714395269e-06,,0.004767656326293945,2099,
,2.9996067817022407e-06,,,,,2149,
0,,,2.999606749654049e-06,,0.004202708601951599,2149,
,2.9995832504168423e-06,,,,,2199,
0,,,2.9995833301654784e-06,,0.004903588443994522,2199,
,2.999559035456232e-06,,,,,2249,
0,,,2.999559001182206e-06,,0.004448499530553818,2249,
,2.999534136832031e-06,,,,,2299,
0,,,2.9995342174515827e-06,,0.004698330070823431,2299,
,2.9995085545561887e-06,,,,,2349,
0,,,2.9995085242262576e-06,,0.004560756962746382,2349,
,2.999482288640982e-06,,,,,2399,
0,,,2.9994823762535816e-06,,0.004929642658680677,2399,
,2.999455339099016e-06,,,,,2449,
0,,,2.999455318786204e-06,,0.004147829953581095,2449,
,2.999427705943225e-06,,,,,2499,
0,,,2.9994278065714752e-06,,0.004865144845098257,2499,
,2.9993993891868693e-06,,,,,2549,
0,,,2.999399384862045e-06,,0.005033969413489103,2549,
,2.9993703888435395e-06,,,,,2599,
0,,,2.999370281031588e-06,,0.004392252303659916,2599,
,2.999340704927153e-06,,,,,2649,
0,,,2.9993407224537805e-06,,0.005010475404560566,2649,
,2.999310337451955e-06,,,,,2699,
0,,,2.999310254381271e-06,,0.0049790735356509686,2699,
,2.9992792864325194e-06,,,,,2749,
0,,,2.999279331561411e-06,,0.004727445542812347,2749,
,2.9992475518837483e-06,,,,,2799,
0,,,2.9992474992468487e-06,,0.004848544951528311,2799,
,2.9992151338208717e-06,,,,,2849,
0,,,2.999215212184936e-06,,0.005127101670950651,2849,
,2.9991820322594463e-06,,,,,2899,
0,,,2.999182015628321e-06,,0.004784175660461187,2899,
,2.9991482472153594e-06,,,,,2949,
0,,,2.99914813695068e-06,,0.004789241589605808,2949,
,2.9991137787048238e-06,,,,,2999,
0,,,2.999113803525688e-06,,0.00493454048410058,2999,
,2.9990786267443814e-06,,,,,3049,
0,,,2.9990785606059944e-06,,0.004980584140866995,3049,
,2.9990427913509028e-06,,,,,3099,
0,,,2.99904286293895e-06,,0.00499885156750679,3099,
,2.999006272541585e-06,,,,,3149,
0,,,2.9990062557772035e-06,,0.004809590056538582,3149,
,2.998969070333955e-06,,,,,3199,
0,,,2.9989689664944308e-06,,0.005164312664419413,3199,
,2.9989311847458653e-06,,,,,3249,
0,,,2.998931222464307e-06,,0.004644497763365507,3249,
,2.9988926157954984e-06,,,,,3299,
0,,,2.998892568939482e-06,,0.005146963056176901,3299,
,2.9988533635013636e-06,,,,,3349,
0,,,2.9988534606673056e-06,,0.005126254633069038,3349,
,2.9988134278822993e-06,,,,,3399,
0,,,2.9988134429004276e-06,,0.004560613539069891,3399,
,2.99877280895747e-06,,,,,3449,
0,,,2.9987727430125233e-06,,0.004590559285134077,3449,
,2.9987315067463706e-06,,,,,3499,
0,,,2.998731588377268e-06,,0.004852836020290852,3499,
,2.9986895212688213e-06,,,,,3549,
0,,,2.998689524247311e-06,,0.004595366306602955,3549,
,2.9986468525449718e-06,,,,,3599,
0,,,2.9986467779963277e-06,,0.004544890485703945,3599,
,2.9986035005953e-06,,,,,3649,
0,,,2.9986035769979935e-06,,0.004475669469684362,3649,
,2.99855946544061e-06,,,,,3699,
0,,,2.9985594665049575e-06,,0.004999607335776091,3699,
,2.9985147471020357e-06,,,,,3749,
0,,,2.998514673890895e-06,,0.004543222486972809,3749,
,2.998469345601037e-06,,,,,3799,
0,,,2.998469426529482e-06,,0.004761196207255125,3799,
,2.9984232609594038e-06,,,,,3849,
0,,,2.998423269673367e-06,,0.004379481077194214,3849,
,2.9983764931992523e-06,,,,,3899,
0,,,2.9983764306962257e-06,,0.00491280248388648,3899,
,2.998329042343027e-06,,,,,3949,
0,,,2.9983291369717335e-06,,0.004705285187810659,3949,
,2.9982809084134994e-06,,,,,3999,
0,,,2.9982809337525396e-06,,0.005036145448684692,3999,
,2.9982320914337702e-06,,,,,4049,
0,,,2.9982320484123193e-06,,0.004863366484642029,4049,
,2.998182591427267e-06,,,,,4099,
0,,,2.9981824809510726e-06,,0.004659087862819433,4099,
,2.998132408417746e-06,,,,,4149,
0,,,2.998132458742475e-06,,0.0047029852867126465,4149,
,2.9980815424292906e-06,,,,,4199,
0,,,2.998081527039176e-06,,0.005285404156893492,4199,
,2.998029993486311e-06,,,,,4249,
0,,,2.9980299132148502e-06,,0.0048637972213327885,4249,
,2.9979777616135475e-06,,,,,4299,
0,,,2.9979778446431737e-06,,0.00499479565769434,4299,
,2.9979248468360662e-06,,,,,4349,
0,,,2.9979248665767955e-06,,0.005285211838781834,4349,
,2.9978712491792617e-06,,,,,4399,
0,,,2.997871206389391e-06,,0.004851847421377897,4399,
,2.997816968668856e-06,,,,,4449,
0,,,2.99781686408096e-06,,0.004889940842986107,4449,
,2.9977620053308985e-06,,,,,4499,
0,,,2.997762067025178e-06,,0.004505640361458063,4499,
,2.9977063591917683e-06,,,,,4549,
0,,,2.9977063604746945e-06,,0.004858332220464945,4549,
,2.997650030278169e-06,,,,,4599,
0,,,2.9976499718031846e-06,,0.004827601369470358,4599,
,2.997593018617135e-06,,,,,4649,
0,,,2.997593128384324e-06,,0.004451633431017399,4649,
,2.9975353242360252e-06,,,,,4699,
0,,,2.997535375470761e-06,,0.004774929024279118,4699,
,2.9974769471625295e-06,,,,,4749,
0,,,2.9974769404361723e-06,,0.00432548439130187,4749,
,2.997417887424663e-06,,,,,4799,
0,,,2.997417823280557e-06,,0.004609514959156513,4799,
,2.9973581450507694e-06,,,,,4849,
0,,,2.997358251377591e-06,,0.005207655020058155,4849,
,2.99729772006952e-06,,,,,4899,
0,,,2.997297769979923e-06,,0.0050679356791079044,4899,
,2.9972366125099127e-06,,,,,4949,
0,,,2.997236606461229e-06,,0.0045790220610797405,4949,
,2.9971748224012745e-06,,,,,4999,
0,,,2.9971747608215082e-06,,0.004767119884490967,4999,
,2.997112349773259e-06,,,,,5049,
0,,,2.997112460434437e-06,,0.00514807365834713,5049,
,2.9970491946558477e-06,,,,,5099,
0,,,2.9970492505526636e-06,,0.004689380060881376,5099,
,2.9969853570793496e-06,,,,,5149,
0,,,2.996985358549864e-06,,0.004531138576567173,5149,
,2.996920837074401e-06,,,,,5199,
0,,,2.996920784426038e-06,,0.004662272520363331,5199,
,2.9968556346719655e-06,,,,,5249,
0,,,2.996855528181186e-06,,0.004536252003163099,5249,
,2.996789749903335e-06,,,,,5299,
0,,,2.996789817188983e-06,,0.0047753192484378815,5299,
,2.996723182800129e-06,,,,,5349,
0,,,2.996723196702078e-06,,0.005051746033132076,5349,
,2.9966559333942923e-06,,,,,5399,
0,,,2.9966558940941468e-06,,0.004685673397034407,5399,
,2.9965880017181004e-06,,,,,5449,
0,,,2.9965879093651893e-06,,0.004707008600234985,5449,
,2.9965193878041533e-06,,,,,5499,
0,,,2.996519469888881e-06,,0.004556762985885143,5499,
,2.9964500916853804e-06,,,,,5549,
0,,,2.9964501209178707e-06,,0.00527259660884738,5549,
,2.9963801133950375e-06,,,,,5599,
0,,,2.996380089825834e-06,,0.004905289504677057,5599,
,2.996309452966708e-06,,,,,5649,
0,,,2.9963093766127713e-06,,0.00530171487480402,5649,
,2.9962381104343028e-06,,,,,5699,
0,,,2.9962382086523576e-06,,0.004566223360598087,5699,
,2.9961660858320603e-06,,,,,5749,
0,,,2.996166131197242e-06,,0.0046996185556054115,5749,
,2.9960933791945455e-06,,,,,5799,
0,,,2.9960933716211002e-06,,0.0052986741065979,5799,
,2.9960199905566515e-06,,,,,5849,
0,,,2.996019929923932e-06,,0.0056261639110744,5849,
,2.9959459199535984e-06,,,,,5899,
0,,,2.995946033479413e-06,,0.0046920753084123135,5899,
,2.9958711674209335e-06,,,,,5949,
0,,,2.995871227540192e-06,,0.004640547093003988,5949,
,2.9957957329945322e-06,,,,,5999,
0,,,2.995795739479945e-06,,0.005016335751861334,5999,
