epoch,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,0.01,49,
0,,0.6508783102035522,,49,
,,,0.01,99,
0,,0.574760377407074,,99,
,,,0.01,149,
0,,0.5963835120201111,,149,
,,,0.01,199,
0,,0.543497622013092,,199,
,,,0.01,249,
0,,0.5330405235290527,,249,
,,,0.01,299,
0,,0.4819673001766205,,299,
,,,0.01,349,
0,,0.48998570442199707,,349,
,,,0.01,399,
0,,0.46075621247291565,,399,
,,,0.01,449,
0,,0.46268460154533386,,449,
,,,0.01,499,
0,,0.4382173717021942,,499,
,,,0.01,549,
0,,0.43259045481681824,,549,
,,,0.01,599,
0,,0.38811594247817993,,599,
,,,0.01,649,
0,,0.4147515296936035,,649,
,,,0.01,699,
0,,0.381813108921051,,699,
,,,0.01,749,
0,,0.4156958758831024,,749,
,,,0.01,799,
0,,0.4133085310459137,,799,
,,,0.01,849,
0,,0.4076509475708008,,849,
,,,0.01,899,
0,,0.4003705084323883,,899,
,,,0.01,949,
0,,0.408944696187973,,949,
,,,0.01,999,
0,,0.39669492840766907,,999,
,,,0.01,1049,
0,,0.3668048679828644,,1049,
,,,0.01,1099,
0,,0.4025156497955322,,1099,
,,,0.01,1149,
0,,0.3431284427642822,,1149,
,,,0.01,1199,
0,,0.39181777834892273,,1199,
,,,0.01,1249,
0,,0.3762676417827606,,1249,
,,,0.01,1299,
0,,0.36866864562034607,,1299,
,,,0.01,1349,
0,,0.3831404745578766,,1349,
,,,0.01,1399,
0,,0.3609069883823395,,1399,
,,,0.01,1449,
0,,0.3644922077655792,,1449,
,,,0.01,1499,
0,,0.3608604669570923,,1499,
,,,0.01,1549,
0,,0.3735463321208954,,1549,
,,,0.01,1599,
0,,0.3835626244544983,,1599,
,,,0.01,1649,
0,,0.33628296852111816,,1649,
,,,0.01,1699,
0,,0.32327792048454285,,1699,
,,,0.01,1749,
0,,0.349666029214859,,1749,
0,,,,1759,0.401937335729599
0,0.44050726294517517,,,1759,
,,,0.009997656161737225,1799,
1,,0.3297167122364044,,1799,
,,,0.009997656161737225,1849,
1,,0.35034799575805664,,1849,
,,,0.009997656161737225,1899,
1,,0.36163952946662903,,1899,
,,,0.009997656161737225,1949,
1,,0.3482137620449066,,1949,
,,,0.009997656161737225,1999,
1,,0.36233314871788025,,1999,
,,,0.009997656161737225,2049,
1,,0.32166990637779236,,2049,
,,,0.009997656161737225,2099,
1,,0.3188612461090088,,2099,
,,,0.009997656161737225,2149,
1,,0.335747092962265,,2149,
,,,0.009997656161737225,2199,
1,,0.3344557285308838,,2199,
,,,0.009997656161737225,2249,
1,,0.34629517793655396,,2249,
,,,0.009997656161737225,2299,
1,,0.3384566009044647,,2299,
,,,0.009997656161737225,2349,
1,,0.3128896653652191,,2349,
,,,0.009997656161737225,2399,
1,,0.2877805233001709,,2399,
,,,0.009997656161737225,2449,
1,,0.3318502604961395,,2449,
,,,0.009997656161737225,2499,
1,,0.33352991938591003,,2499,
,,,0.009997656161737225,2549,
1,,0.3106389343738556,,2549,
,,,0.009997656161737225,2599,
1,,0.3373349606990814,,2599,
,,,0.009997656161737225,2649,
1,,0.3307288587093353,,2649,
,,,0.009997656161737225,2699,
1,,0.3144417405128479,,2699,
,,,0.009997656161737225,2749,
1,,0.3314719796180725,,2749,
,,,0.009997656161737225,2799,
1,,0.3234628736972809,,2799,
,,,0.009997656161737225,2849,
1,,0.3001367747783661,,2849,
,,,0.009997656161737225,2899,
