epoch,learning_rate_step,loss_step,lr-AdamW,step
,,,2.9676538446957887e-06,49
0,2.9676539270440117e-06,0.006119142286479473,,49
,,,2.9676538446957887e-06,99
0,2.9676539270440117e-06,0.007188194897025824,,99
,,,2.9676538446957887e-06,149
0,2.9676539270440117e-06,0.006295748054981232,,149
,,,2.9676538446957887e-06,199
0,2.9676539270440117e-06,0.006195923779159784,,199
,,,2.9676538446957887e-06,249
0,2.9676539270440117e-06,0.00632169796153903,,249
,,,2.9676538446957887e-06,299
0,2.9676539270440117e-06,0.006398150231689215,,299
,,,2.9676538446957887e-06,349
0,2.9676539270440117e-06,0.006000337190926075,,349
,,,2.9676538446957887e-06,399
0,2.9676539270440117e-06,0.007132069673389196,,399
,,,2.9676538446957887e-06,449
0,2.9676539270440117e-06,0.0064414800144732,,449
,,,2.9676538446957887e-06,499
0,2.9676539270440117e-06,0.006387487053871155,,499
,,,2.9676538446957887e-06,549
0,2.9676539270440117e-06,0.00731100607663393,,549
,,,2.9676538446957887e-06,599
0,2.9676539270440117e-06,0.006356930825859308,,599
,,,2.9676538446957887e-06,649
0,2.9676539270440117e-06,0.006142798345535994,,649
,,,2.9676538446957887e-06,699
0,2.9676539270440117e-06,0.007526031229645014,,699
,,,2.9676538446957887e-06,749
0,2.9676539270440117e-06,0.0064050257205963135,,749
,,,2.9676538446957887e-06,799
0,2.9676539270440117e-06,0.006940470542758703,,799
,,,2.9676538446957887e-06,849
0,2.9676539270440117e-06,0.00693539110943675,,849
