epoch,learning_rate_step,loss_step,lr-SGD,step
,,,6e-06,49
0,6.000000212225132e-06,0.00600944459438324,,49
,,,6e-06,99
0,6.000000212225132e-06,0.0059683616273105145,,99
,,,6e-06,149
0,6.000000212225132e-06,0.006705384235829115,,149
,,,6e-06,199
0,6.000000212225132e-06,0.005675786640495062,,199
,,,6e-06,249
0,6.000000212225132e-06,0.006360678467899561,,249
,,,6e-06,299
0,6.000000212225132e-06,0.005464570131152868,,299
,,,6e-06,349
0,6.000000212225132e-06,0.006191079504787922,,349
,,,6e-06,399
0,6.000000212225132e-06,0.005594399757683277,,399
,,,6e-06,449
0,6.000000212225132e-06,0.006343518383800983,,449
,,,6e-06,499
0,6.000000212225132e-06,0.0054001943208277225,,499
,,,6e-06,549
0,6.000000212225132e-06,0.005676116328686476,,549
,,,6e-06,599
0,6.000000212225132e-06,0.005927621852606535,,599
,,,6e-06,649
0,6.000000212225132e-06,0.0056160809472203255,,649
,,,6e-06,699
0,6.000000212225132e-06,0.00566178048029542,,699
,,,6e-06,749
0,6.000000212225132e-06,0.0060808006674051285,,749
,,,6e-06,799
0,6.000000212225132e-06,0.005680499132722616,,799
,,,6e-06,849
0,6.000000212225132e-06,0.006215914152562618,,849
,,,6e-06,899
0,6.000000212225132e-06,0.005732089746743441,,899
,,,6e-06,949
0,6.000000212225132e-06,0.006387603469192982,,949
,,,6e-06,999
0,6.000000212225132e-06,0.006168347783386707,,999
,,,6e-06,1049
0,6.000000212225132e-06,0.0061058299615979195,,1049
,,,6e-06,1099
0,6.000000212225132e-06,0.005535346921533346,,1099
,,,6e-06,1149
0,6.000000212225132e-06,0.005362844094634056,,1149
,,,6e-06,1199
0,6.000000212225132e-06,0.006031049881130457,,1199
,,,6e-06,1249
0,6.000000212225132e-06,0.0052039735019207,,1249
,,,6e-06,1299
0,6.000000212225132e-06,0.006050521973520517,,1299
,,,6e-06,1349
0,6.000000212225132e-06,0.006297110114246607,,1349
,,,6e-06,1399
0,6.000000212225132e-06,0.005992342717945576,,1399
,,,6e-06,1449
0,6.000000212225132e-06,0.005235860589891672,,1449
,,,6e-06,1499
0,6.000000212225132e-06,0.005241166800260544,,1499
,,,6e-06,1549
0,6.000000212225132e-06,0.005567918997257948,,1549
,,,6e-06,1599
0,6.000000212225132e-06,0.0058036549016833305,,1599
,,,6e-06,1649
0,6.000000212225132e-06,0.005506350193172693,,1649
,,,6e-06,1699
0,6.000000212225132e-06,0.006801887881010771,,1699
,,,6e-06,1749
0,6.000000212225132e-06,0.005594806745648384,,1749
,,,6e-06,1799
0,6.000000212225132e-06,0.00638088071718812,,1799
,,,6e-06,1849
0,6.000000212225132e-06,0.005481218919157982,,1849
,,,6e-06,1899
0,6.000000212225132e-06,0.005875596310943365,,1899
,,,6e-06,1949
0,6.000000212225132e-06,0.0057048010639846325,,1949
,,,6e-06,1999
0,6.000000212225132e-06,0.004998012445867062,,1999
,,,6e-06,2049
0,6.000000212225132e-06,0.0060438658110797405,,2049
,,,6e-06,2099
0,6.000000212225132e-06,0.005685163661837578,,2099
,,,6e-06,2149
0,6.000000212225132e-06,0.006980027537792921,,2149
,,,6e-06,2199
0,6.000000212225132e-06,0.0063005597330629826,,2199
,,,6e-06,2249
0,6.000000212225132e-06,0.00549871101975441,,2249
,,,6e-06,2299
0,6.000000212225132e-06,0.005719272419810295,,2299
,,,6e-06,2349
0,6.000000212225132e-06,0.0059961616061627865,,2349
,,,6e-06,2399
0,6.000000212225132e-06,0.005825858563184738,,2399
,,,6e-06,2449
0,6.000000212225132e-06,0.00597462709993124,,2449
,,,6e-06,2499
0,6.000000212225132e-06,0.005936762783676386,,2499
,,,6e-06,2549
0,6.000000212225132e-06,0.005629377905279398,,2549
,,,6e-06,2599
0,6.000000212225132e-06,0.005946767516434193,,2599
,,,6e-06,2649
0,6.000000212225132e-06,0.0060903760604560375,,2649
,,,6e-06,2699
0,6.000000212225132e-06,0.005482453387230635,,2699
,,,6e-06,2749
0,6.000000212225132e-06,0.006152650341391563,,2749
,,,6e-06,2799
0,6.000000212225132e-06,0.006764546036720276,,2799
,,,6e-06,2849
0,6.000000212225132e-06,0.005946039687842131,,2849
,,,6e-06,2899
0,6.000000212225132e-06,0.0053053623996675014,,2899
,,,6e-06,2949
0,6.000000212225132e-06,0.005975935608148575,,2949
,,,6e-06,2999
0,6.000000212225132e-06,0.005920198746025562,,2999
,,,6e-06,3049
0,6.000000212225132e-06,0.005912110209465027,,3049
,,,6e-06,3099
0,6.000000212225132e-06,0.005514902528375387,,3099
,,,6e-06,3149
0,6.000000212225132e-06,0.005675556603819132,,3149
,,,6e-06,3199
0,6.000000212225132e-06,0.005817149765789509,,3199
,,,6e-06,3249
0,6.000000212225132e-06,0.0057438211515545845,,3249
,,,6e-06,3299
0,6.000000212225132e-06,0.005318691488355398,,3299
,,,6e-06,3349
0,6.000000212225132e-06,0.006304107140749693,,3349
,,,6e-06,3399
0,6.000000212225132e-06,0.005404752679169178,,3399
,,,6e-06,3449
0,6.000000212225132e-06,0.0066073983907699585,,3449
,,,6e-06,3499
0,6.000000212225132e-06,0.006031663157045841,,3499
,,,6e-06,3549
0,6.000000212225132e-06,0.005627437960356474,,3549
,,,6e-06,3599
0,6.000000212225132e-06,0.005343351513147354,,3599
,,,6e-06,3649
0,6.000000212225132e-06,0.006498826202005148,,3649
,,,6e-06,3699
0,6.000000212225132e-06,0.005503788590431213,,3699
,,,6e-06,3749
0,6.000000212225132e-06,0.005946808960288763,,3749
,,,6e-06,3799
0,6.000000212225132e-06,0.006345068104565144,,3799
,,,6e-06,3849
0,6.000000212225132e-06,0.0054520112462341785,,3849
