epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-SGD,step,val_loss
,,,,,5e-06,49,
0,,4.999999873689376e-06,,0.005826146341860294,,49,
,,,,,5e-06,99,
0,,4.999999873689376e-06,,0.005772545468062162,,99,
,,,,,5e-06,149,
0,,4.999999873689376e-06,,0.006535474210977554,,149,
,,,,,5e-06,199,
0,,4.999999873689376e-06,,0.005505853332579136,,199,
,,,,,5e-06,249,
0,,4.999999873689376e-06,,0.006172499153763056,,249,
,,,,,5e-06,299,
0,,4.999999873689376e-06,,0.005285437684506178,,299,
,,,,,5e-06,349,
0,,4.999999873689376e-06,,0.006011466961354017,,349,
,,,,,5e-06,399,
0,,4.999999873689376e-06,,0.005411332938820124,,399,
,,,,,5e-06,449,
0,,4.999999873689376e-06,,0.00616401806473732,,449,
,,,,,5e-06,499,
0,,4.999999873689376e-06,,0.0052404203452169895,,499,
,,,,,5e-06,549,
0,,4.999999873689376e-06,,0.005513851996511221,,549,
,,,,,5e-06,599,
0,,4.999999873689376e-06,,0.005736491177231073,,599,
,,,,,5e-06,649,
0,,4.999999873689376e-06,,0.005459239706397057,,649,
,,,,,5e-06,699,
0,,4.999999873689376e-06,,0.005484719295054674,,699,
,,,,,5e-06,749,
0,,4.999999873689376e-06,,0.005882275756448507,,749,
,,,,,5e-06,799,
0,,4.999999873689376e-06,,0.005496773403137922,,799,
,,,,,5e-06,849,
0,,4.999999873689376e-06,,0.006019271444529295,,849,
,,,,,5e-06,899,
0,,4.999999873689376e-06,,0.005575133953243494,,899,
,,,,,5e-06,949,
0,,4.999999873689376e-06,,0.006209785118699074,,949,
,,,,,5e-06,999,
0,,4.999999873689376e-06,,0.005999945569783449,,999,
,,,,,5e-06,1049,
0,,4.999999873689376e-06,,0.005924237426370382,,1049,
,,,,,5e-06,1099,
0,,4.999999873689376e-06,,0.005381330847740173,,1099,
,,,,,5e-06,1149,
0,,4.999999873689376e-06,,0.005178782157599926,,1149,
,,,,,5e-06,1199,
0,,4.999999873689376e-06,,0.005872057285159826,,1199,
,,,,,5e-06,1249,
0,,4.999999873689376e-06,,0.005100398324429989,,1249,
,,,,,5e-06,1299,
0,,4.999999873689376e-06,,0.005886020604521036,,1299,
,,,,,5e-06,1349,
0,,4.999999873689376e-06,,0.006118112709373236,,1349,
,,,,,5e-06,1399,
0,,4.999999873689376e-06,,0.005789170507341623,,1399,
,,,,,5e-06,1449,
0,,4.999999873689376e-06,,0.005080949515104294,,1449,
,,,,,5e-06,1499,
0,,4.999999873689376e-06,,0.0050599705427885056,,1499,
,,,,,5e-06,1549,
0,,4.999999873689376e-06,,0.005369752179831266,,1549,
,,,,,5e-06,1599,
0,,4.999999873689376e-06,,0.005613372661173344,,1599,
,,,,,5e-06,1649,
0,,4.999999873689376e-06,,0.005346942227333784,,1649,
,,,,,5e-06,1699,
0,,4.999999873689376e-06,,0.006634545512497425,,1699,
,,,,,5e-06,1749,
0,,4.999999873689376e-06,,0.005403535906225443,,1749,
,,,,,5e-06,1799,
0,,4.999999873689376e-06,,0.006204338278621435,,1799,
,,,,,5e-06,1849,
0,,4.999999873689376e-06,,0.005296899471431971,,1849,
,,,,,5e-06,1899,
0,,4.999999873689376e-06,,0.005701698362827301,,1899,
,,,,,5e-06,1949,
0,,4.999999873689376e-06,,0.005545345600694418,,1949,
,,,,,5e-06,1999,
0,,4.999999873689376e-06,,0.004827798344194889,,1999,
,,,,,5e-06,2049,
0,,4.999999873689376e-06,,0.005872893147170544,,2049,
,,,,,5e-06,2099,
0,,4.999999873689376e-06,,0.0055178687907755375,,2099,
,,,,,5e-06,2149,
0,,4.999999873689376e-06,,0.006774944718927145,,2149,
,,,,,5e-06,2199,
0,,4.999999873689376e-06,,0.006123208906501532,,2199,
,,,,,5e-06,2249,
0,,4.999999873689376e-06,,0.005338428076356649,,2249,
,,,,,5e-06,2299,
0,,4.999999873689376e-06,,0.005543885752558708,,2299,
,,,,,5e-06,2349,
0,,4.999999873689376e-06,,0.005831897258758545,,2349,
,,,,,5e-06,2399,
0,,4.999999873689376e-06,,0.00565312197431922,,2399,
,,,,,5e-06,2449,
0,,4.999999873689376e-06,,0.005783471744507551,,2449,
,,,,,5e-06,2499,
0,,4.999999873689376e-06,,0.00578073738142848,,2499,
,,,,,5e-06,2549,
0,,4.999999873689376e-06,,0.005465343594551086,,2549,
,,,,,5e-06,2599,
0,,4.999999873689376e-06,,0.005767015274614096,,2599,
,,,,,5e-06,2649,
0,,4.999999873689376e-06,,0.005899406969547272,,2649,
,,,,,5e-06,2699,
0,,4.999999873689376e-06,,0.005287548992782831,,2699,
,,,,,5e-06,2749,
0,,4.999999873689376e-06,,0.0059692650102078915,,2749,
,,,,,5e-06,2799,
0,,4.999999873689376e-06,,0.0066129425540566444,,2799,
