epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,,,5e-06,49,
0,,4.999999873689376e-06,,6.671951996395364e-05,,49,
,,,,,5e-06,99,
0,,4.999999873689376e-06,,2.3754158974043094e-05,,99,
,,,,,5e-06,149,
0,,4.999999873689376e-06,,2.0799905541935004e-05,,149,
,,,,,5e-06,199,
0,,4.999999873689376e-06,,1.3507602488971315e-05,,199,
,,,,,5e-06,249,
0,,4.999999873689376e-06,,1.2586434422701132e-05,,249,
,,,,,5e-06,299,
0,,4.999999873689376e-06,,1.2138789315940812e-05,,299,
,,,,,5e-06,349,
0,,4.999999873689376e-06,,1.1462799193395767e-05,,349,
,,,,,5e-06,399,
0,,4.999999873689376e-06,,1.2588294339366257e-05,,399,
,,,,,5e-06,449,
0,,4.999999873689376e-06,,1.0508951163501479e-05,,449,
,,,,,5e-06,499,
0,,4.999999873689376e-06,,1.0833312444447074e-05,,499,
,,,,,5e-06,549,
0,,4.999999873689376e-06,,1.1556762729014736e-05,,549,
,,,,,5e-06,599,
0,,4.999999873689376e-06,,9.280819540435914e-06,,599,
,,,,,5e-06,649,
0,,4.999999873689376e-06,,1.009582047117874e-05,,649,
,,,,,5e-06,699,
0,,4.999999873689376e-06,,8.28009160613874e-06,,699,
,,,,,5e-06,749,
0,,4.999999873689376e-06,,8.476224138576072e-06,,749,
,,,,,5e-06,799,
0,,4.999999873689376e-06,,9.277982826461084e-06,,799,
,,,,,5e-06,849,
0,,4.999999873689376e-06,,8.76132253324613e-06,,849,
,,,,,5e-06,899,
0,,4.999999873689376e-06,,8.399231774092186e-06,,899,
,,,,,5e-06,949,
0,,4.999999873689376e-06,,7.915942660474684e-06,,949,
,,,,,5e-06,999,
0,,4.999999873689376e-06,,8.478770723741036e-06,,999,
,,,,,5e-06,1049,
0,,4.999999873689376e-06,,9.226868314726744e-06,,1049,
,,,,,5e-06,1099,
0,,4.999999873689376e-06,,9.421172762813512e-06,,1099,
,,,,,5e-06,1149,
0,,4.999999873689376e-06,,7.346976872213418e-06,,1149,
,,,,,5e-06,1199,
0,,4.999999873689376e-06,,7.548884696007008e-06,,1199,
,,,,,5e-06,1249,
0,,4.999999873689376e-06,,8.371225703740492e-06,,1249,
,,,,,5e-06,1299,
0,,4.999999873689376e-06,,7.605214250361314e-06,,1299,
,,,,,5e-06,1349,
0,,4.999999873689376e-06,,8.354826604772825e-06,,1349,
,,,,,5e-06,1399,
0,,4.999999873689376e-06,,7.055932655930519e-06,,1399,
,,,,,5e-06,1449,
0,,4.999999873689376e-06,,7.041300250421045e-06,,1449,
,,,,,5e-06,1499,
