epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,,,0.0006,49,
0,,0.0006000000284984708,,0.9011904001235962,,49,
,,,,,0.0006,99,
0,,0.0006000000284984708,,0.784856379032135,,99,
,,,,,0.0006,149,
0,,0.0006000000284984708,,0.7210877537727356,,149,
,,,,,0.0006,199,
0,,0.0006000000284984708,,0.7045885920524597,,199,
,,,,,0.0006,249,
0,,0.0006000000284984708,,0.6672337055206299,,249,
,,,,,0.0006,299,
0,,0.0006000000284984708,,0.6644775867462158,,299,
,,,,,0.0006,349,
0,,0.0006000000284984708,,0.6917517185211182,,349,
,,,,,0.0006,399,
0,,0.0006000000284984708,,0.6105383038520813,,399,
,,,,,0.0006,449,
0,,0.0006000000284984708,,0.600854754447937,,449,
,,,,,0.0006,499,
0,,0.0006000000284984708,,0.5663666129112244,,499,
,,,,,0.0006,549,
0,,0.0006000000284984708,,0.5696958899497986,,549,
,,,,,0.0006,599,
0,,0.0006000000284984708,,0.5600197911262512,,599,
,,,,,0.0006,649,
0,,0.0006000000284984708,,0.5420690774917603,,649,
,,,,,0.0006,699,
0,,0.0006000000284984708,,0.5312159061431885,,699,
,,,,,0.0006,749,
0,,0.0006000000284984708,,0.5094029307365417,,749,
,,,,,0.0006,799,
0,,0.0006000000284984708,,0.5292413830757141,,799,
,,,,,0.0006,849,
0,,0.0006000000284984708,,0.5097071528434753,,849,
,,,,,0.0006,899,
0,,0.0006000000284984708,,0.4954173266887665,,899,
,,,,,0.0006,949,
0,,0.0006000000284984708,,0.508682370185852,,949,
,,,,,0.0006,999,
0,,0.0006000000284984708,,0.49541139602661133,,999,
,,,,,0.0006,1049,
0,,0.0006000000284984708,,0.4649263322353363,,1049,
,,,,,0.0006,1099,
0,,0.0006000000284984708,,0.4657575786113739,,1099,
,,,,,0.0006,1149,
0,,0.0006000000284984708,,0.4819347858428955,,1149,
,,,,,0.0006,1199,
0,,0.0006000000284984708,,0.4609556794166565,,1199,
,,,,,0.0006,1249,
0,,0.0006000000284984708,,0.4501137435436249,,1249,
,,,,,0.0006,1299,
0,,0.0006000000284984708,,0.4486599564552307,,1299,
,,,,,0.0006,1349,
0,,0.0006000000284984708,,0.43671712279319763,,1349,
,,,,,0.0006,1399,
0,,0.0006000000284984708,,0.4366130828857422,,1399,
,,,,,0.0006,1449,
0,,0.0006000000284984708,,0.4421308636665344,,1449,
,,,,,0.0006,1499,
0,,0.0006000000284984708,,0.4545154571533203,,1499,
,,,,,0.0006,1549,
0,,0.0006000000284984708,,0.4125262200832367,,1549,
,,,,,0.0006,1599,
0,,0.0006000000284984708,,0.4237540364265442,,1599,
,,,,,0.0006,1649,
0,,0.0006000000284984708,,0.4247008264064789,,1649,
,,,,,0.0006,1699,
0,,0.0006000000284984708,,0.3975885808467865,,1699,
,,,,,0.0006,1749,
0,,0.0006000000284984708,,0.4251523017883301,,1749,
,,,,,0.0006,1799,
0,,0.0006000000284984708,,0.42720890045166016,,1799,
,,,,,0.0006,1849,
0,,0.0006000000284984708,,0.4389927089214325,,1849,
,,,,,0.0006,1899,
0,,0.0006000000284984708,,0.41821789741516113,,1899,
,,,,,0.0006,1949,
0,,0.0006000000284984708,,0.43256768584251404,,1949,
,,,,,0.0006,1999,
0,,0.0006000000284984708,,0.4338565468788147,,1999,
,,,,,0.0006,2049,
0,,0.0006000000284984708,,0.413561075925827,,2049,
,,,,,0.0006,2099,
0,,0.0006000000284984708,,0.38385114073753357,,2099,
,,,,,0.0006,2149,
0,,0.0006000000284984708,,0.3882609009742737,,2149,
,,,,,0.0006,2199,
0,,0.0006000000284984708,,0.43706151843070984,,2199,
,,,,,0.0006,2249,
0,,0.0006000000284984708,,0.4351429045200348,,2249,
,,,,,0.0006,2299,
0,,0.0006000000284984708,,0.4223499298095703,,2299,
,,,,,0.0006,2349,
0,,0.0006000000284984708,,0.3873060941696167,,2349,
,,,,,0.0006,2399,
0,,0.0006000000284984708,,0.41655492782592773,,2399,
,,,,,0.0006,2449,
0,,0.0006000000284984708,,0.4047320783138275,,2449,
,,,,,0.0006,2499,
0,,0.0006000000284984708,,0.3773588240146637,,2499,
,,,,,0.0006,2549,
0,,0.0006000000284984708,,0.40626755356788635,,2549,
0,,,,,,2559,0.619987964630127
