epoch,learning_rate,learning_rate_step,loss_step,step
,5.676631623649104e-06,,,49
0,,5.6766316447465215e-06,1.477813959121704,49
,7.912991932381355e-06,,,99
0,,7.912992259662133e-06,0.9238666892051697,99
,7.999990243769376e-06,,,149
0,,7.999989975360222e-06,0.6363197565078735,149
,7.999950193598226e-06,,,199
0,,7.999949957593344e-06,0.43027812242507935,199
,7.999879193099675e-06,,,249
0,,7.999879017006606e-06,0.28482967615127563,249
,7.999777242852018e-06,,,299
0,,7.999777153600007e-06,0.20270438492298126,299
,7.999644343685632e-06,,,349
0,,7.999644367373548e-06,0.15700183808803558,349
,7.999480496682972e-06,,,399
0,,7.99948065832723e-06,0.13697515428066254,399
,7.999285703178557e-06,,,449
0,,7.99928602646105e-06,0.1062692180275917,449
,7.99905996475897e-06,,,499
0,,7.999059562280308e-06,0.0924128070473671,499
,7.998803283262836e-06,,,549
0,,7.998803084774408e-06,0.08017907291650772,549
,7.998515660780805e-06,,,599
0,,7.998515684448648e-06,0.07434075325727463,599
,7.99819709965554e-06,,,649
0,,7.998197361303028e-06,0.06314586102962494,649
,7.997847602481701e-06,,,699
0,,7.997847205842845e-06,0.06250394135713577,699
,7.99746717210592e-06,,,749
0,,7.997467037057504e-06,0.05903233215212822,749
,7.997055811626774e-06,,,799
0,,7.997055945452303e-06,0.057961948215961456,799
,7.996613524394763e-06,,,849
0,,7.996613931027241e-06,0.0428418330848217,849
,7.99614031401229e-06,,,899
0,,7.996140084287617e-06,0.04701470583677292,899
,7.995636184333616e-06,,,949
0,,7.995636224222835e-06,0.041132137179374695,949
,7.995101139464844e-06,,,999
0,,7.995101441338193e-06,0.03823133930563927,999
,7.994535183763878e-06,,,1049
0,,7.994534826138988e-06,0.04052184522151947,1049
,7.993938321840384e-06,,,1099
0,,7.993938197614625e-06,0.03813449293375015,1099
,7.993310558555764e-06,,,1149
0,,7.993310646270402e-06,0.03756929188966751,1149
,7.992651899023103e-06,,,1199
0,,7.992652172106318e-06,0.03521079942584038,1199
,7.991962348607138e-06,,,1249
0,,7.991962775122374e-06,0.032123398035764694,1249
,7.99124191292421e-06,,,1299
0,,7.991241545823868e-06,0.035002317279577255,1299
